date,GBX,USD
2015-03-02,199.54,3.0716680870456874
2015-03-03,200.76,3.0862230045636587
2015-03-04,198.58,3.0496776707828253
2015-03-05,200.38,3.057269364114445
2015-03-06,201.65,3.0746142091180095
2015-03-09,199.01,2.9974575075798646
2015-03-10,199.74,3.013972369542333
2015-03-11,196.85,2.966969826988248
2015-03-12,197.3,2.943131041365006
2015-03-13,199.94,2.97442383581089
2015-03-16,200.07,2.953113239029
2015-03-17,202.06,2.997054037389051
2015-03-18,202.65,2.991784086209952
2015-03-19,201.93,3.0113525923327487
2015-03-20,203.49,3.0060647779479335
2015-03-23,203.05,3.0292323612037433
2015-03-24,204.11,3.0473110133554058
2015-03-25,202.98,3.0198067603713765
2015-03-26,199.07,2.964379806223946
2015-03-27,199.82,2.967275233160622
2015-03-31,201.51,2.9827462134075233
2015-04-02,200.23,2.96765914622289
2015-04-07,201.79,3.006163807524892
2015-04-08,201.46,2.9863239438351954
2015-04-09,203.06,3.0185677958473973
2015-04-10,205.36,3.024202922196518
2015-04-13,206.25,3.020116112617352
2015-04-14,205.42,3.015130507220674
2015-04-15,204.36,3.0163422158519104
2015-04-16,203.21,3.018818954342503
2015-04-17,202.29,3.0209106122068836
2015-04-21,204.38,3.0420164444168787
2015-04-22,203.21,3.0336540992778476
2015-04-23,203.78,3.061561302885106
2015-04-24,204.22,3.071358143292115
2015-04-27,205.84,3.124001610693677
2015-04-28,202.15,3.0793259699728344
2015-04-29,201.96,3.097838328016902
2015-04-30,199.7,3.082860074980518
2015-05-05,203.42,3.0768481319891556
2015-05-06,201.02,3.0519064745588937
2015-05-07,199.58,3.040099672888621
2015-05-08,199.97,3.0878099272438515
2015-05-11,201.7,3.112689985889642
2015-05-12,198.05,3.0848344881656176
2015-05-13,198.31,3.107146877797196
2015-05-14,197.65,3.1135260485865817
2015-05-15,201.08,3.1675578945094354
2015-05-18,201.02,3.1581400876975616
2015-05-19,203.37,3.180215290461085
2015-05-20,203.37,3.1548792095312534
2015-05-21,201.53,3.1327831675414832
2015-05-22,202.39,3.1729243357219863
2015-05-26,202.71,3.1295976641618677
2015-05-27,202.02,3.107399582472139
2015-05-28,204.81,3.146902776125943
2015-05-29,205.15,3.1456764230203738
2015-06-01,203.97,3.118247019345895
